supplier_name,vehicle_vin,service_type,total_amount,date,line_item_desc,line_item_amount
Cascade Fleet Services,1HGCM82633A004352,Oil Change,89.99,2026-05-02,Full synthetic 5W-30 5qt,89.99
RainCity AutoCare,2T1BURHE0JC048821,Tire Rotation,54.5,2026-05-05,4-wheel rotation + torque check,54.5
PNW Brake & Lube,3VWFE21C04M000112,Brake Inspection,78.0,2026-05-07,Front & rear pad check,78.0
Northwest Tire Co,4T1BF3EK5AU561234,Wiper Replacement,42.0,2026-05-09,Bosch premium blades pair,42.0
Cascade Fleet Services,5XYKT3A62CG223344,Air Filter,38.5,2026-05-11,OEM engine air filter,38.5
Puget Sound Garage,6G1ZD5ST5KS871234,Battery Check,165.0,2026-05-14,AGM 750CCA battery install,165.0
RainCity AutoCare,7MZGP4GY5LF012345,Coolant Top-up,35.0,2026-05-16,Extended-life coolant 1gal,35.0
PNW Brake & Lube,8AFPK7BC0L6789012,Oil Change,95.0,2026-05-19,Synthetic blend 0W-20 5qt,95.0
Northwest Tire Co,9BWZZZ377VT004251,Cabin Filter,48.0,2026-05-21,HEPA cabin air filter,48.0
Puget Sound Garage,1G1ZD5ST5KF123456,Tire Rotation,54.5,2026-05-23,6-wheel rotation + balance,54.5
